seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.8640350877192983,0.8648952889876046,0.8680095391713147,0.8640350877192983,magpie
42,rfc,0.8552631578947368,0.8585091885935977,0.8667439479165486,0.8552631578947368,magpie
42,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
42,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
42,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
123,etc,0.8508771929824561,0.8518214337259372,0.8549715994237224,0.8508771929824561,magpie
123,rfc,0.8508771929824561,0.8522337353240738,0.855907663301147,0.8508771929824561,magpie
123,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
123,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
123,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
456,etc,0.8464912280701754,0.8484971911990247,0.8543654058359942,0.8464912280701754,magpie
456,rfc,0.8464912280701754,0.8460954837043048,0.8502425060319796,0.8464912280701754,magpie
456,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
456,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
456,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
789,etc,0.8640350877192983,0.8642534646716361,0.8673244724387033,0.8640350877192983,magpie
789,rfc,0.8508771929824561,0.8533883140900684,0.8605692553060973,0.8508771929824561,magpie
789,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
789,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
789,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
1024,etc,0.8464912280701754,0.8482740603396015,0.8534649904618944,0.8464912280701754,magpie
1024,rfc,0.8464912280701754,0.8487525471433738,0.8545935179371712,0.8464912280701754,magpie
1024,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
1024,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
1024,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
2024,etc,0.868421052631579,0.8689141418536195,0.8720751633986928,0.868421052631579,magpie
2024,rfc,0.8421052631578947,0.8446412101693553,0.8538632503439973,0.8421052631578947,magpie
2024,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
2024,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
2024,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
314,etc,0.8596491228070176,0.8598309324438403,0.862694322107395,0.8596491228070176,magpie
314,rfc,0.8464912280701754,0.8496772598054811,0.8584829721362229,0.8464912280701754,magpie
314,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
314,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
314,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
99,etc,0.8596491228070176,0.8592295054060142,0.8605456602430895,0.8596491228070176,magpie
99,rfc,0.8552631578947368,0.8577218019861769,0.8674758230966411,0.8552631578947368,magpie
99,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
99,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
99,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
7,etc,0.8552631578947368,0.8573521592370151,0.8635030466609414,0.8552631578947368,magpie
7,rfc,0.8421052631578947,0.845020098206469,0.8537827789685375,0.8421052631578947,magpie
7,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
7,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
7,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
2000,etc,0.8552631578947368,0.8568810430987059,0.8608620510508058,0.8552631578947368,magpie
2000,rfc,0.8464912280701754,0.8475383552615942,0.8557941293231761,0.8464912280701754,magpie
2000,lr,0.6491228070175439,0.6432589777351619,0.6447176887659674,0.6491228070175439,magpie
2000,lsvc,0.6710526315789473,0.6660115723041915,0.6714630687848862,0.6710526315789473,magpie
2000,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,magpie
