seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.8640350877192983,0.8660319596126095,0.8715284032273195,0.8640350877192983,oliynyk
42,rfc,0.8552631578947368,0.8576203312855993,0.8638188430790218,0.8552631578947368,oliynyk
42,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
42,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
42,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
123,etc,0.8552631578947368,0.85777818470291,0.8640141903053088,0.8552631578947368,oliynyk
123,rfc,0.8552631578947368,0.857376885872942,0.8614418780662301,0.8552631578947368,oliynyk
123,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
123,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
123,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
456,etc,0.8464912280701754,0.8487004934379686,0.8554645610237717,0.8464912280701754,oliynyk
456,rfc,0.8508771929824561,0.8535764633807411,0.8602554619335773,0.8508771929824561,oliynyk
456,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
456,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
456,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
789,etc,0.8728070175438597,0.8746252145855583,0.8786585392939991,0.8728070175438597,oliynyk
789,rfc,0.8421052631578947,0.8451446964410188,0.852402723050943,0.8421052631578947,oliynyk
789,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
789,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
789,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
1024,etc,0.8596491228070176,0.8617108530193481,0.8670283882783884,0.8596491228070176,oliynyk
1024,rfc,0.8596491228070176,0.8612580836028029,0.8686446886446887,0.8596491228070176,oliynyk
1024,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
1024,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
1024,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
2024,etc,0.8728070175438597,0.8746195747754413,0.8793395625314131,0.8728070175438597,oliynyk
2024,rfc,0.8508771929824561,0.8540455664894946,0.8617060237556562,0.8508771929824561,oliynyk
2024,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
2024,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
2024,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
314,etc,0.8596491228070176,0.8624454846767081,0.8696275385154061,0.8596491228070176,oliynyk
314,rfc,0.8508771929824561,0.8509697029768395,0.8574986841115874,0.8508771929824561,oliynyk
314,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
314,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
314,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
99,etc,0.8640350877192983,0.8654525885123567,0.8692430749117057,0.8640350877192983,oliynyk
99,rfc,0.8728070175438597,0.8745351223732838,0.8783977082315544,0.8728070175438597,oliynyk
99,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
99,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
99,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
7,etc,0.8508771929824561,0.8528635655120106,0.8601557579847054,0.8508771929824561,oliynyk
7,rfc,0.8552631578947368,0.8574544179314302,0.8637124279229542,0.8552631578947368,oliynyk
7,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
7,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
7,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
2000,etc,0.8596491228070176,0.8611896770939381,0.8668903311267491,0.8596491228070176,oliynyk
2000,rfc,0.8464912280701754,0.8481793933081067,0.8518006289710366,0.8464912280701754,oliynyk
2000,lr,0.6622807017543859,0.6584960958124595,0.6680746160984492,0.6622807017543859,oliynyk
2000,lsvc,0.706140350877193,0.7020239152399054,0.7048141539626007,0.706140350877193,oliynyk
2000,dumc,0.3026315789473684,0.1406166932482722,0.09158587257617729,0.3026315789473684,oliynyk
